Zlato za 10 000 dolarů?	$10,000 Gold?
Současně platí, že centrální banky zemí s rozvíjejícími se trhy potřebují hromadit zlaté rezervy, které stále drží v daleko menším poměru než centrální banky zemí bohatých.	At the same time, emerging-market central banks need to accumulate gold reserves, which they still hold in far lower proportion than do rich-country central banks.
A protože dnes euro působí jako prostředek diverzifikace rizika spojeného s dolarem méně lákavě, přirozeně tím vzrůstá přitažlivost eura.	With the euro looking less appetizing as a diversification play away from the dollar, gold’s appeal has naturally grown.
Takže ano, existují solidní základní ukazatele, které přijatelným způsobem podporují dnešní vyšší cenu zlata, ačkoliv je daleko spornější, zda a do jaké míry budou jeho vyšší cenu podporovat i do budoucna.	So, yes, there are solid fundamentals that arguably support today’s higher gold price, although it is far more debatable whether and to what extent they will continue to support higher prices in the future.
Další klíčový základní faktor, který udržuje ceny zlata nahoře, by se totiž mohl ukázat jako mnohem pomíjivější než globalizace.	Indeed, another critical fundamental factor that has been sustaining high gold prices might prove far more ephemeral than globalization.
Ceny zlata jsou mimořádně citlivé na pohyby globálních úrokových sazeb.	Gold prices are extremely sensitive to global interest-rate movements.
Zlato koneckonců nenese žádný úrok a jeho držení navíc něco stojí.	After all, gold pays no interest and even costs something to store.
Dnes, kdy se úrokové sazby v mnoha zemích blíží rekordním minimům nebo jich už dosáhly, je tedy relativně levné spekulovat se zlatem namísto investic do dluhopisů.	Today, with interest rates near or at record lows in many countries, it is relatively cheap to speculate in gold instead of investing in bonds.
Pokud se však reálné úrokové sazby podstatně zvýší, což by jednoho dne docela dobře mohly, ceny zlata se mohou zhroutit.	But if real interest rates rise significantly, as well they might someday, gold prices could plummet.
Většina ekonomických studií naznačuje, že ceny zlata se v krátkodobém až střednědobém měřítku velmi obtížně předpovídají, přičemž pravděpodobnosti zisku a ztráty jsou přibližně v rovnováze.	Most economic research suggests that gold prices are very difficult to predict over the short to medium term, with the odds of gains and losses being roughly in balance.
Je proto nebezpečné extrapolovat krátkodobé trendy.	It is therefore dangerous to extrapolate from short-term trends.
Ano, zlato zažívá skvělou jízdu, ale totéž platilo ještě před pár lety i o celosvětových cenách nemovitostí.	Yes, gold has had a great run, but so, too, did worldwide housing prices until a couple of years ago.
Jste-li investorem disponujícím velkým objemem prostředků, suverénním fondem nebo centrální bankou, pak je veskrze rozumné držet skromný díl portfolia ve zlatě coby ochraně proti mimořádným událostem.	If you are a high-net-worth investor, a sovereign wealth fund, or a central bank, it makes perfect sense to hold a modest proportion of your portfolio in gold as a hedge against extreme events.
Navzdory vysoké přitažlivosti dané mimořádným růstem ceny však pro většinu z nás zůstává zlato velmi riskantní sázkou.	But, despite gold’s heightened allure in the wake of an extraordinary run-up in its price, it remains a very risky bet for most of us.
Takové úvahy samozřejmě mohou mít na ceny jen malý vliv.	Of course, such considerations might have little influence on prices.
Co však platilo pro alchymisty v dávných dobách, to platí i dnes: zlato a rozum jdou často jen obtížně dohromady.	What was true for the alchemists of yore remains true today: gold and reason are often difficult to reconcile.
	
1929 nebo 1989?	1929 or 1989?
PAŘÍŽ – Jak se hospodářská krize prohlubuje a rozšiřuje, svět hledá historické analogie, které by nám dění poslední doby pomohly pochopit.	PARIS – As the economic crisis deepens and widens, the world has been searching for historical analogies to help us understand what has been happening.
Na počátku krize ji mnozí lidé přirovnávali k roku 1982 či 1973, což bylo chlácholivé, neboť obě data se váží ke klasickým cyklickým poklesům.	At the start of the crisis, many people likened it to 1982 or 1973, which was reassuring, because both dates refer to classical cyclical downturns.
Dnes je nálada mnohem pochmurnější a začínají se hojně objevovat odkazy na roky 1929 a 1931, třebaže některé vlády se nepřestávají chovat, jako by krize byla spíše klasická než výjimečná.	Today, the mood is much grimmer, with references to 1929 and 1931 beginning to abound, even if some governments continue to behave as if the crisis was more classical than exceptional.
Prosazují se sklony buď k přílišné zdrženlivosti (Evropa), anebo k rozšiřování snah (Spojené státy).	The tendency is either excessive restraint (Europe) or a diffusion of the effort (the United States).
Evropa je obezřetná ve jménu předcházení dluhu a ochrany eura, kdežto USA jednají na mnoha frontách, aby nepromeškaly ideální příležitost k zavedení zoufale potřebných strukturálních reforem.	Europe is being cautious in the name of avoiding debt and defending the euro, whereas the US has moved on many fronts in order not to waste an ideal opportunity to implement badly needed structural reforms.
Geostratégům však s ohledem na politiku i ekonomiku zcela přirozeně přichází na mysl rok 1989.	For geo-strategists, however, the year that naturally comes to mind, in both politics and economics, is 1989.
Jistěže, pád bankovního domu Lehman Brothers nemá nic společného s pádem Berlínské zdi.	Of course, the fall of the house of Lehman Brothers has nothing to do with the fall of the Berlin Wall.
Ba na povrchu se zdá, že jde o naprosté opaky: zřícení zdi symbolizující útlak a umělé rozdělení versus zhroucení zdánlivě nezničitelné a uklidňující instituce finančního kapitalismu.	Indeed, on the surface it seems to be its perfect antithesis: the collapse of a wall symbolizing oppression and artificial divisions versus the collapse of a seemingly indestructible and reassuring institution of financial capitalism.
Léta 2008-2009 se však dost pravděpodobně mohou rovnat, právě tak jako rok 1989, epochální změně, jejíž odvíjející se důsledky budeme pociťovat po desetiletí.	Yet 2008-2009, like 1989, may very well correspond to an epochal change, whose unfolding consequences will be felt for decades.
Konec ideologického rozdělení Východ-Západ i konec absolutní víry v trhy jsou zlomovými body dějin.	The end of the East-West ideological divide and the end of absolute faith in markets are historical turning points.
A dění roku 2009 může ohrozit některé z pozitivních výsledků roku 1989, včetně pokojného znovusjednocení Evropy a triumfu demokratických principů nad nacionalistickými, ne-li xenofobními tendencemi.	And what happens in 2009 may jeopardize some of the positive results of 1989, including the peaceful reunification of Europe and the triumph of democratic principles over nationalist, if not xenophobic, tendencies.
V roce 1989 nad socialistickou ideologií, zosobněnou a propagovanou sovětským blokem, zvítězila liberální demokracie.	In 1989, liberal democracy triumphed over the socialist ideology incarnated and promoted by the Soviet Bloc.
Pro mnohé z příznivců Ronalda Reagana to byl právě prezident USA, kdo záměrnou eskalací závodů ve zbrojení dohnal sovětskou ekonomiku na okraj propasti, čímž plně doložil převahu liberálních společností a volných trhů.	For many of his supporters, it was President Ronald Reagan who, with his deliberate escalation of the arms race, pushed the Soviet economy to the brink, thereby fully demonstrating the superiority of liberal societies and free markets.
Samozřejmě, mezi rokem 1989 a přítomností existují zjevné rozdíly.	Of course, there are obvious differences between 1989 and now.
Zaprvé a snad především, revoluce roku 1989 a následný krach Sovětského svazu skoncovaly se světovou bipolaritou.	First, and perhaps above all, the revolutions of 1989 and the subsequent collapse of the Soviet Union put an end to global bipolarity.
Naproti tomu rok 2009 zřejmě vydláždí cestu k nové bipolaritě, přičemž Sovětský svaz vystřídá Čína.	By contrast, 2009 is likely to pave the way to a new form of bipolarity, but with China substituting for the Soviet Union.
Zadruhé, zatímco v roce 1989 se jasnými vítězi – ač křehčími, než se čekalo – jevila demokracie a kapitalismus, v roce 2009 je během šíření globální krize těžké odlišit vítěze od poražených.	Second, whereas democracy and market capitalism appeared as clear – if more fragile than expected – winners in 1989, it is difficult in 2009, with the spread of the global crisis, to distinguish winners from losers.
Zdá se, že tratí všichni, byť někteří jsou oproti ostatním postiženi víc.	Everyone seems to be a loser, even if some are more affected than others.
Historie je ovšem nespravedlivá a navzdory větší zodpovědnosti za dnešní globální krizi možná USA ze současného marastu vyjdou v lepší formě než ostatní země.	Yet, history is unfair, and the US, despite its greater responsibility for today’s global crisis, may emerge in better shape than most countries from the morass.
V lepší kondici, ale ne samy.	In better shape, but not alone.
Jako hostující profesor na Harvardu a MIT sleduji celkem zřetelnou předpremiéru toho, jak by svět mohl vypadat, až krize konečně odezní.	As a visiting professor at Harvard and MIT, I am getting a good preview of what the world could look like when the crisis finally passes.
Člověk cítí cosi jako formování vesmíru, jemuž budou dominovat Amerika a Asie.	One senses something like the making of an American-Asian dominated universe.
Od úžasné mediální laboratoře MIT po katedry matematiky a ekonomie na Harvardu jsou všude Asijci, především Číňané a Indové, tak jako v prvním století před naším letopočtem Římané v Aténách: plni obdivu k těm, od nichž se tolik naučili a jež v nadcházejících desetiletích překonali.	From the incredible media lab at MIT to the mathematics and economics departments at Harvard, Asians – Chinese and Indians, in particular – are everywhere, like the Romans in Athens in the first century BC: full of admiration for those from whom they were learning so much, and whom they would overcome in the coming decades.
Než se ale tento nový řád objeví, svět se může potýkat s šířícími se zmatky, ne-li přímo chaosem.	But before this new order appears, the world may be faced with spreading disorder, if not outright chaos.
Co se například stane s Egyptem, zemí tak významnou a zranitelnou, až se v důsledku krize v ropných státech budou muset do vlasti vrátit tisíce Egypťanů pracujících v Perském zálivu?	What, for example, will happen to a country as central and vulnerable as Egypt when hundred of thousands of Egyptians working in the Gulf are forced to return to their homeland as a result of the crisis in the oil-producing countries?
Když se bohatým ztenčí bohatství, chudí zchudnou.	When the rich get less rich, the poor get poorer.
A co bude se zahraničními dělníky, kteří dosáhli „evropského snu“ a teď se střetají s potenciálními záchvěvy xenofobie v údajně otevřených evropských zemích?	And what about the foreign workers who have reached for the “European dream” and are now faced with potential explosions of xenophobia in Europe’s supposedly open countries?
Důsledky roku 1989 se ukázaly jako méně trvalé, než by se mnozí pozorovatelé, včetně mě, domnívali.	The consequences of 1989 ended up being less enduring than many observers, including me, would have assumed.
Můžeme jen doufat, že se obdobně i důsledky roku 2009 nakonec ukážou jako mnohem méně dramatické, než se jeví dnes, intuitivně a vlivem dějinných reflexů.	We can only hope that, in the end, the consequences of 2009 similarly prove to be far less dramatic than we now – intuitively and in our historical reflexes – feel them to be.
	
Konec roku 1945	The End of 1945
NEW YORK – Když 8. května 1945 oficiálně skončila v Evropě druhá světová válka, ležela velká část světa v troskách.	NEW YORK – On May 8, 1945, when World War II in Europe officially ended, much of the world lay in ruins.
Pokud je však lidská schopnost destrukce téměř bezbřehá, pak schopnost začínat znovu je neméně pozoruhodná.	But if the human capacity for destruction knows few limits, the ability to start over again is just as remarkable.
Snad proto se lidstvu dosud daří přežít.	Perhaps that is why mankind has so far managed to survive.
Miliony lidí byly na konci války bezpochyby tak hladové a vyčerpané, že se nezmohly na nic kromě vlastního přežívání.	No doubt, millions of people at the end of the war were too hungry and exhausted to do anything much beyond staying alive.
Současně však nad troskami zavládla vlna idealismu, společné odhodlání vybudovat rovnější, pokojnější a bezpečnější svět.	But, at the same time, a wave of idealism swept across the wreckage, a collective sense of determination to build a more equal, peaceful, and safer world.
Proto byl velký hrdina této války Winston Churchill vystrnaděn po volbách z úřadu už v létě roku 1945, ještě před kapitulací Japonska.	That is why the war’s great hero, Winston Churchill, was voted out of office in the summer of 1945, even before Japan surrendered.
Muži a ženy neriskovali životy proto, aby se vrátily staré časy privilegovaných tříd a sociální deprivace.	Men and women had not risked their lives simply to return to the old days of class privilege and social deprivation.
Chtěli lepší bydlení, vzdělání a bezplatnou zdravotní péči pro všechny.	They wanted better housing, education, and free health care for all.
Podobné požadavky se ozývaly po celé Evropě, kde v čele protinacistického či antifašistického odboje často stáli levičáci nebo i komunisté, zatímco předváleční konzervativci byli mnohdy ušpinění kolaborací s fašistickými režimy.	Similar demands were heard all over Europe, where the anti-Nazi or anti-fascist resistance was often led by leftists, or indeed Communists, and prewar conservatives were frequently tainted by collaboration with fascist regimes.
V zemích jako Francie, Itálie a Řecko se mluvilo o revoluci.	There was talk of revolution in countries such as France, Italy, and Greece.
Nakonec k nim nedošlo, protože je nepodpořili západní spojenci ani Sovětský svaz.	This did not happen, because neither the Western Allies nor the Soviet Union supported it.
Stalin se spokojil s impériem ve východní Evropě.	Stalin was content to settle for an empire in Eastern Europe.
Avšak i pravicový vůdce odboje Charles de Gaulle musel ve své první poválečné vládě strpět komunisty a souhlasil se znárodněním průmyslu a bank.	But even Charles de Gaulle, a resistance leader of the right, had to accept Communists in his first postwar government, and he agreed to nationalize industries and banks.
Příklon k levici, k sociálnědemokratickým státům blahobytu probíhal v celé západní Evropě.	The swing to the left, to social-democratic welfare states, occurred all over Western Europe.
Tvořil součást konsensu roku 1945.	It was part of the 1945 consensus.
Jiný typ revoluce se odehrával v bývalých evropských koloniích v Asii, kde domorodé národy neměly zájem nechat si znovu vládnout západními mocnostmi, tak potupně poraženými Japonskem.	A different kind of revolution was taking place in Europe’s former colonies in Asia, where native peoples had no desire to be ruled once more by Western powers, which had been so ignominiously defeated by Japan.
I Vietnamci, Indonésané, Filipínci, Barmánci, Indové a Malajsijci chtěli svůj díl svobody.	Vietnamese, Indonesians, Filipinos, Burmese, Indians, and Malays wanted their freedom, too.
Jejich tužby byly často slyšet v Organizaci spojených národů, založené v roce 1945.	These aspirations were often voiced in the United Nations, founded in 1945.
Také OSN byla součástí konsensu roku 1945, podobně jako sen o evropské jednotě.	The UN, like the dream of European unity, was also part of the 1945 consensus.
Mnoho význačných osobností – například Albert Einstein – nakrátko uvěřilo, že pouze světová vláda dokáže zajistit světový mír.	For a short while, many prominent people – Albert Einstein, for one – believed that only a world government would be able to ensure global peace.
Tento sen se rychle rozplynul, když studená válka rozdělila svět na dva znesvářené bloky.	This dream quickly faded when the Cold War divided the world into two hostile blocs.
Politika studené války však v některých ohledech posilovala na Západě konsensus roku 1945.	But in some ways the 1945 consensus, in the West, was strengthened by Cold War politics.
Komunismus, který se stále halil do pláštíku antifašismu, měl značnou intelektuální a emoční přitažlivost, a to nejen v takzvaném třetím světě, ale i v západní Evropě.	Communism, still wrapped in the laurel leaf of anti-fascism, had a wide intellectual and emotional appeal, not only in the so-called Third World, but also in Western Europe.
Jako jeho ideologická protilátka pak sloužila sociální demokracie se svým slibem větší rovnosti a příležitostí pro všechny.	Social democracy, with its promise of greater equality and opportunities for all, served as an ideological antidote.
Většina sociálních demokratů byla ve skutečnosti zapálenými antikomunisty.	Most social democrats were in fact fiercely anti-communist.
Dnes, o 70 let později, už velká část konsensu roku 1945 neexistuje.	Today, 70 years later, much of the 1945 consensus no longer survives.
Z málokoho dnes vyzařuje velký zápal pro OSN.	Few people can muster great enthusiasm for the UN.
Evropský sen je v krizi.	The European dream is in crisis.
A poválečný sociálnědemokratický stát blahobytu je den ode dne nahlodanější.	And the post-war social-democratic welfare state is being eroded more and more every day.
Tento rozkladný proces započal v 80. letech za vlády Ronalda Reagana a Margaret Thatcherové.	The rot began during the 1980s, under Ronald Reagan and Margaret Thatcher.
Neoliberálové napadali výdaje na vyplácení dávek a partikulární zájmy odborových svazů.	Neoliberals attacked the expense of entitlement programs and the vested interests of trade unions.
Panovalo přesvědčení, že občané se musí víc spoléhat sami na sebe a že vládní sociální programy je činí měkkými a závislými.	Citizens, it was thought, had to become more self-reliant; government welfare programs were making everyone soft and dependent.
Abychom parafrázovali slavný výrok Thatcherové, neexistuje žádná „společnost“, jen rodiny a jednotlivci, kteří by se měli starat o sebe.	In Thatcher’s famous words, there was no such thing as “society,” only families and individuals who ought to be taking care of themselves.
Mnohem tvrdší úder však konsensus roku 1945 inkasoval ve chvíli, kdy jsme se všichni radovali z pádu sovětského impéria, druhé velké tyranie dvacátého století.	But the 1945 consensus was dealt a much greater blow precisely when we all rejoiced at the collapse of the Soviet Empire, the other great twentieth-century tyranny.
V roce 1989 se zdálo, že temný odkaz druhé světové války, totiž zotročení východní Evropy, je konečně u konce.	In 1989, it looked as if the dark legacy of World War II, the enslavement of Eastern Europe, was finally over.
A v mnoha směrech tomu tak skutečně bylo.	And in many ways, it was.
Se sovětským modelem se však zhroutila i řada dalších věcí.	But much else collapsed with the Soviet model.
Sociální demokracie jako protilátka vůči komunismu ztratila důvod k existenci.	Social democracy lost its raison d’être as an antidote to Communism.
Všechny formy levicové ideologie – vlastně všechno, co zavánělo kolektivním idealismem – se začaly pokládat za pomýlený utopismus, který může vést jedině do gulagu.	All forms of leftist ideology – indeed, everything that smacked of collective idealism – came to be viewed as misguided utopianism that could lead only to the Gulag.
Na uvolněné místo nastoupil liberalismus, jenž vytvořil obrovské bohatství pro některé lidi, avšak na úkor ideálu rovnosti, který vzešel z druhé světové války.	Neoliberalism filled the vacuum, creating vast wealth for some people, but at the expense of the ideal of equality that had emerged from World War II.
Mimořádné přijetí knihy Thomase Pikettyho Kapitál v jednadvacátém století ukazuje, jak intenzivně jsou vnímány důsledky kolapsu levice.	The extraordinary reception of Thomas Piketty’s Capital in the Twenty-First Century shows how keenly the consequences of the collapse of the left have been felt.
V nedávných letech se objevily i jiné ideologie snažící se zaplnit lidskou potřebu společných ideálů.	In recent years, other ideologies have also emerged to fill the human need for collective ideals.
Vzestup pravicového populismu odráží oživenou touhu po čistých národních komunitách, které mezi sebe nepouštějí přistěhovalce a menšiny.	The rise of right-wing populism reflects revived yearnings for pure national communities that keep immigrants and minorities out.
A američtí neokonzervativci zvráceně proměnili internacionalismus staré levice tím, že se snaží zavádět demokratický světový řád americkou vojenskou silou.	And, perversely, American neo-conservatives have transformed the internationalism of the old left by seeking to impose a democratic world order by US military force.
Odpovědí na tento alarmující vývoj není nostalgie.	The answer to these alarming developments is not nostalgia.
Nemůžeme se jednoduše vrátit do minulosti.	We cannot simply return to the past.
Na to se příliš mnoho změnilo.	Too much has changed.
Nová touha po společenské a ekonomické rovnosti a mezinárodní solidaritě je však zoufale zapotřebí.	But a new aspiration toward social and economic equality, and international solidarity, is badly needed.
Nemůže být stejná jako konsensus roku 1945, avšak bylo by dobré, kdybychom si během tohoto výročí připomněli, proč tento konsensus vůbec vznikl.	It cannot be the same as the 1945 consensus, but we would do well, on this anniversary, to remember why that consensus was forged in the first place.
	
2011: Má vesmírná odysea	2011: My Space Odyssey
MOSKVA – Většina lidí, kteří o mně něco vědí, mě má za odbornici na informační technologie, která nejspíš žije v Kalifornii a investuje do našlápnutých firemních nováčků v oblasti internetu.	MOSCOW – Most people who know of me think of me as an information-technology expert, someone who probably lives in California and invests in edgy Internet start-ups.
Ve skutečnosti je mým úředním bydlištěm město New York a většinu příštích pěti měsíců se chystám strávit v Rusku, abych v Hvězdném městečku hned za Moskvou absolvovala výcvik pro kosmonauty.	In fact, my formal residence is in New York City, but I am about to spend most of the next five months in Russia, training to be a cosmonaut in Star City, just outside Moscow.
Celé to přišlo z mnoha stran.	It all came about in a number of ways.
V prvé řadě jsem jako dítě předpokládala, že jednou poletím na Měsíc, aniž bych pro to musela něco zvláštního udělat.	First of all, as a kid, I just assumed that I would go to the moon, without having to do much in particular to make it happen.
Prostě jsem brala za samozřejmost, že než mi bude řekněme čtyřicet, cestování vesmírem bude běžné.	I just took it for granted that, by the time I was, say, 40, space travel would be a common thing.
Můj otec se podílel na kosmickém programu Spojených států a doma jsme měli nějaké měsíční kameny, takže jsem z toho nedělala vědu.	My father was involved with the United States space program, and we had some moon rocks at home, so I thought it was no big deal.
Pak se moje pozornost asi na 40 let stočila k jiným věcem.	Then I got distracted for about 40 years.
Před několika lety jsem se ale začala vesmírem znovu zaobírat.	A few years ago, however, I started paying attention to space again.
Spousta lidí, které jsem v branži IT znala, se věnovala témuž: Elon Musk, spoluzakladatel PayPal, zřídil Space-X, Jeff Bezos z Amazonu rozjel společnost Blue Origin zaměřenou na stavbu kosmických lodí, Jeff Greason, vysoce postavený manažer z Intelu, byl u zrodu firmy XCOR Aerospace (jejíž jsem investorkou).	A lot of people I knew in the IT industry were doing the same: Elon Musk, a co-founder of PayPal, founded Space-X; Jeff Bezos of Amazon started a spacecraft company called Blue Origin; Jeff Greason, a senior manager at Intel, started XCOR Aerospace (in which I’m an investor).
V roce 2005, kdy jsem naposledy uspořádala konferenci PC Forum pro podnikatele v oblasti IT, jsem zahájila konferenci nazvanou Flight School pro podnikatele v kosmonautice a soukromém letectví.	In 2005, the last year I held my PC Forum conference for IT entrepreneurs, I started a conference called Flight School for entrepreneurs in space and private aviation.
Zároveň jsem asi v roce 2005 zavítala do Jižní Afriky se skupinkou, která bývalému prezidentu Thabo Mbekimu a jeho vládě radila ohledně politiky informačních technologií.	Meanwhile, in about 2005, I was in South Africa with a small group advising former President Thabo Mbeki and his government about its IT policy.
Jedním z členů týmu byl Mark Shuttleworth, zakladatel Thawte (odprodané VeriSign), který se nedlouho předtím vrátil z výletu na kosmickou stanici jako druhý „vesmírný turista“.	One of the group was Mark Shuttleworth, founder of Thawte (sold to VeriSign), who had recently come back from a trip to the space station as the second “space tourist.”
Jednou večer seděla skupina při západu slunce kolem táborového ohně a autobusy přivezly asi 50 afrických školáků.	One evening, the group sat around a campfire as the sun set, and around 50 African schoolchildren were bussed in.
Celkem nás okolo praskajícího ohně bylo kolem stovky, včetně prezidenta Mbekiho.	Altogether, there were about 100 of us, President Mbeki included, around a roaring fire.
Jakmile se zešeřilo, bylo nachystáno plátno a Mark nám promítl své domácí video z vesmíru.	Once it was dark, a screen was set up and Mark showed home videos from space.
Přednesl strhující vyprávění o svém dobrodružství, doplněné záběry toho, jak se vznáší, chytá do úst bubliny a podobně.	He gave a fascinating talk about his adventures, complete with clips of him floating around, catching bubbles in his mouth, and so on.
Děti byli nadšené a jsem přesvědčená, že některé z nich se tehdy rozhodly studovat matematiku a přírodní vědy.	The kids loved it, and I'm sure some of them decided then and there to study math and science.
Konečně jsem investovala do Space Adventures, společnosti, která Shuttleworthův výlet do kosmu organizovala.	Eventually, I invested in Space Adventures, the company that organized Shuttleworth’s trip into space.
Později jsem se zúčastnila exkurze, kterou uspořádali ke sledování vzletu Charlese Simonyiho, pátého (a brzy sedmého) vesmírného turisty, z kazašského Bajkonuru.	Later, I went on a tour that they organized to watch the launch of Charles Simonyi, the fifth (and soon seventh) space tourist, from Baikonur in Kazakhstan.
(Simonyi napsal program Microsoft Word a teď má další průkopnickou firmu, Intentional Software, a dále nadaci a webové stránky CharlesinSpace.org.)	(Simonyi wrote the Microsoft Word program, and now has another start-up, Intentional Software, and a foundation, as well as a Web site, CharlesinSpace.org.)
Krátce nato jsem začala neformálně debatovat o tom, že bych se v týmu Space Adventures stala náhradním kosmonautem.	Soon after, I started casually discussing the notion of becoming a backup cosmonaut with the Space Adventures team.
